"TemplateFile","ExpertRelativePath","TemplateExists"
"AUTO_DF_5_1.tpl","DF 5.1.ex4","0"
"AUTO_DF_HIGHTOWER_V2.tpl","DF HIGHTOWER V2.ex4","0"
"AUTO_DF_HIGHTOWER_V3.tpl","DF HIGHTOWER V3.ex4","0"
"AUTO_DF_HIGHTOWER.tpl","DF HIGHTOWER.ex4","0"
"AUTO_DF_KNOT__AUTOFLIP.tpl","DF KNOT +AUTOFLIP.ex4","0"
"AUTO_DF_KNOT__AUTOFLIP.tpl","DF KNOT +AUTOFLIP\DF KNOT +AUTOFLIP.ex4","0"
"AUTO_DF_KNOT.tpl","DF KNOT.ex4","0"
"AUTO_DF_KNOT.tpl","DF KNOT\DF KNOT.ex4","0"
"AUTO_DF_LADDER_-_MOTION_V3.tpl","DF LADDER - MOTION V3.ex4","0"
"AUTO_DF_LADDER_-_MOTION.tpl","DF LADDER - MOTION.ex4","0"
"AUTO_DF_LADDER-_MOTION_V2.tpl","DF LADDER- MOTION V2.ex4","0"
"AUTO_DF_LADDER_RV.tpl","DF LADDER RV.ex4","0"
"AUTO_DF_LADDER.tpl","DF LADDER.ex4","0"
"AUTO_DF_ORIGINAL_.tpl","DF ORIGINal\DF ORIGINAL .ex4","0"
"AUTO_DF_ORIGINAL.tpl","DF ORIGINal\DF ORIGINAL.ex4","0"
"AUTO_DF_SAUCE_2_0.tpl","DF SAUCE 2.0.ex4","0"
"AUTO_DF_SAUCE_FINAL.tpl","DF SAUCE FINAL.ex4","0"
"AUTO_DF_SAUCE.tpl","DF SAUCE.ex4","0"
"AUTO_DF_TREND_GHOST.tpl","DF TREND GHOST.ex4","0"
"AUTO_DF_HIGHTOWER_ADAPTIVE_V7.tpl","DF_HIGHTOWER_ADAPTIVE_V7.ex4","0"
"AUTO_DF_HIGHTOWER_V10_FULL.tpl","DF_HIGHTOWER_V10_FULL.ex4","0"
"AUTO_DF_QUANTUM.tpl","DF_QUANTUM\DF_QUANTUM.ex4","0"
"AUTO_DF_SAUCE.tpl","DF_SAUCE.ex4","0"
"AUTO_DFHIGHTOWERV6.tpl","DFHIGHTOWERV6.ex4","0"
"AUTO_CC_GROW.tpl","Imported_From_KOT4X\CC GROW.ex4","0"
"AUTO_DF_QUANTUM.tpl","Imported_From_KOT4X\DF_QUANTUM\DF_QUANTUM.ex4","0"
"AUTO_DF_Sauce_EA.tpl","Imported_From_KOT4X\DF_Sauce_EA.ex4","0"
"AUTO_DF_Sauce_EA_FIXED.tpl","Imported_From_KOT4X\DF_Sauce_EA_FIXED.ex4","0"
"AUTO_DJ_VERSION_-_ULTIMATE_PACKAGE__1___1_.tpl","Imported_From_KOT4X\DJ VERSION - ULTIMATE PACKAGE (1) (1).ex4","0"
"AUTO_GOLDSETUP.tpl","Imported_From_KOT4X\GOLDSETUP.ex4","0"
"AUTO_HALO.tpl","Imported_From_KOT4X\HALO.ex4","0"
"AUTO_IMB.tpl","Imported_From_KOT4X\IMB\IMB.ex4","0"
"AUTO_KINGDOM_MANNER_-_ULTIMATE_PACKAGE.tpl","Imported_From_KOT4X\KINGDOM MANNER - ULTIMATE PACKAGE.ex4","0"
"AUTO_KINGDOM_MANNER_-_VERSION_3.tpl","Imported_From_KOT4X\KINGDOM MANNER - VERSION 3.ex4","0"
"AUTO_KINGDOM_MANNER_-_VERSION_4.tpl","Imported_From_KOT4X\KINGDOM MANNER - VERSION 4.ex4","0"
"AUTO_Kingdom_Manner___Scale.tpl","Imported_From_KOT4X\Kingdom Manner + Scale.ex4","0"
"AUTO_Kingdom_Manner.tpl","Imported_From_KOT4X\Kingdom Manner.ex4","0"
"AUTO_MACD_Sample.tpl","Imported_From_KOT4X\MACD Sample.ex4","0"
"AUTO_Manner.tpl","Imported_From_KOT4X\Manner.ex4","0"
"AUTO_Moving_Average.tpl","Imported_From_KOT4X\Moving Average.ex4","0"
"AUTO_SORO___IMB_SCALER.tpl","Imported_From_KOT4X\SORO + IMB SCALER.ex4","0"
"AUTO_SORO.tpl","Imported_From_KOT4X\SORO.ex4","0"
"AUTO_MACD_Sample.tpl","MACD Sample.ex4","0"
"AUTO_Moving_Average.tpl","Moving Average.ex4","0"
