"EAName","ExpertRelativePath","SizeBytes","LastWriteTimeUtc"
"MACD Sample","ALL_EAs_BY_FUNCTION\Trend\MACD Sample.ex4","10232","2026-03-21T21:20:02.3565492Z"
"MACD Sample_44D4FBE6","ALL_EAs_BY_FUNCTION\Trend\MACD Sample_44D4FBE6.ex4","10686","2026-03-19T12:42:10.6923426Z"
"Moving Average","ALL_EAs_BY_FUNCTION\Trend\Moving Average.ex4","14490","2026-03-21T21:20:02.5029486Z"
"Moving Average_3BDBF483","ALL_EAs_BY_FUNCTION\Trend\Moving Average_3BDBF483.ex4","15460","2026-03-19T12:42:10.8173382Z"
"AVA","ALL_EAs_BY_FUNCTION\Unknown\AVA.ex4","77224","2026-02-24T13:27:40.2761399Z"
"DF 5.1","ALL_EAs_BY_FUNCTION\Unknown\DF 5.1.ex4","109080","2026-02-10T15:44:27.2875321Z"
"DF ORIGINAL ","ALL_EAs_BY_FUNCTION\Unknown\DF ORIGINAL .ex4","138290","2026-02-22T17:59:04.8814878Z"
"DF ORIGINAL","ALL_EAs_BY_FUNCTION\Unknown\DF ORIGINAL.ex4","141490","2026-02-22T18:19:24.3939744Z"
"DF_QUANTUM","ALL_EAs_BY_FUNCTION\Unknown\DF_QUANTUM.ex4","34754","2026-03-21T21:19:08.3595149Z"
"DJ VERSION - ULTIMATE PACKAGE (1) (1)","ALL_EAs_BY_FUNCTION\Unknown\DJ VERSION - ULTIMATE PACKAGE (1) (1).ex4","384148","2025-11-20T17:40:50.6762675Z"
"GOLDSETUP","ALL_EAs_BY_FUNCTION\Unknown\GOLDSETUP.ex4","74666","2025-12-14T16:13:52.0921463Z"
"HALO","ALL_EAs_BY_FUNCTION\Unknown\HALO.ex4","21660","2025-12-07T05:34:07.3077019Z"
"KINGDOM MANNER - ULTIMATE PACKAGE","ALL_EAs_BY_FUNCTION\Unknown\KINGDOM MANNER - ULTIMATE PACKAGE.ex4","344820","2025-11-04T01:11:23.9943884Z"
"KINGDOM MANNER - VERSION 3","ALL_EAs_BY_FUNCTION\Unknown\KINGDOM MANNER - VERSION 3.ex4","266228","2025-10-23T15:52:57.1850638Z"
"KINGDOM MANNER - VERSION 4","ALL_EAs_BY_FUNCTION\Unknown\KINGDOM MANNER - VERSION 4.ex4","270372","2025-10-23T14:30:53.5414906Z"
"Kingdom Manner","ALL_EAs_BY_FUNCTION\Unknown\Kingdom Manner.ex4","219968","2023-08-19T13:57:31.7433478Z"
"Manner","ALL_EAs_BY_FUNCTION\Unknown\Manner.ex4","265942","2024-02-01T05:09:37.5462428Z"
"AVA","AVA.ex4","77224","2026-02-24T13:27:40.2761399Z"
"CEM BOT COPIER","CEM BOT COPIER.ex4","17020","2026-01-03T01:30:54.1593075Z"
"DF 5.1","DF 5.1.ex4","109080","2026-02-10T15:44:27.2875321Z"
"DF HIGHTOWER V2","DF HIGHTOWER V2.ex4","101532","2026-03-01T17:22:56.6026136Z"
"DF HIGHTOWER V3","DF HIGHTOWER V3.ex4","110722","2026-03-01T18:09:39.3807824Z"
"DF HIGHTOWER","DF HIGHTOWER.ex4","78422","2026-03-01T14:23:33.6756351Z"
"DF KNOT +AUTOFLIP","DF KNOT +AUTOFLIP.ex4","43256","2026-01-01T22:42:30.0863252Z"
"DF KNOT +AUTOFLIP","DF KNOT +AUTOFLIP\DF KNOT +AUTOFLIP.ex4","43662","2025-12-31T21:01:07.6406865Z"
"DF KNOT","DF KNOT.ex4","41964","2026-01-01T22:42:30.9617600Z"
"DF KNOT","DF KNOT\DF KNOT.ex4","42100","2025-12-31T17:48:30.7700798Z"
"DF LADDER - MOTION V3","DF LADDER - MOTION V3.ex4","110740","2026-02-07T16:59:21.9515144Z"
"DF LADDER - MOTION","DF LADDER - MOTION.ex4","97588","2026-01-09T23:32:43.0877839Z"
"DF LADDER- MOTION V2","DF LADDER- MOTION V2.ex4","103036","2026-01-17T16:31:23.9649962Z"
"DF LADDER RV","DF LADDER RV.ex4","74186","2026-01-07T20:21:43.9142093Z"
"DF LADDER","DF LADDER.ex4","46300","2026-01-01T22:36:54.0194125Z"
"DF ORIGINAL ","DF ORIGINal\DF ORIGINAL .ex4","138290","2026-02-22T17:59:04.8814878Z"
"DF ORIGINAL","DF ORIGINal\DF ORIGINAL.ex4","141490","2026-02-22T18:19:24.3939744Z"
"DF SAUCE 2.0","DF SAUCE 2.0.ex4","72482","2026-02-07T17:31:05.7973011Z"
"DF SAUCE FINAL","DF SAUCE FINAL.ex4","146190","2026-02-24T17:29:49.2618452Z"
"DF SAUCE","DF SAUCE.ex4","44148","2026-02-06T15:28:48.4294815Z"
"DF TREND GHOST","DF TREND GHOST.ex4","128748","2026-02-12T01:51:38.1253300Z"
"DF_HIGHTOWER_ADAPTIVE_V7","DF_HIGHTOWER_ADAPTIVE_V7.ex4","151100","2026-03-05T17:26:04.3174741Z"
"DF_HIGHTOWER_V10_FULL","DF_HIGHTOWER_V10_FULL.ex4","142020","2026-03-04T12:57:32.3231043Z"
"DF_QUANTUM","DF_QUANTUM\DF_QUANTUM.ex4","34896","2026-03-21T21:42:27.8866030Z"
"DF_SAUCE","DF_SAUCE.ex4","139950","2026-02-16T11:07:58.2335156Z"
"DFHIGHTOWERV6","DFHIGHTOWERV6.ex4","146352","2026-03-09T12:33:08.4766185Z"
"CC GROW","Imported_From_KOT4X\CC GROW.ex4","277656","2025-11-06T00:07:03.5555133Z"
"DF_QUANTUM","Imported_From_KOT4X\DF_QUANTUM\DF_QUANTUM.ex4","34754","2026-03-21T21:19:08.3595149Z"
"DF_Sauce_EA","Imported_From_KOT4X\DF_Sauce_EA.ex4","39646","2026-01-01T12:49:34.0539438Z"
"DF_Sauce_EA_FIXED","Imported_From_KOT4X\DF_Sauce_EA_FIXED.ex4","22380","2025-10-22T14:15:50.0057060Z"
"DJ VERSION - ULTIMATE PACKAGE (1) (1)","Imported_From_KOT4X\DJ VERSION - ULTIMATE PACKAGE (1) (1).ex4","384148","2025-11-20T17:40:50.6762675Z"
"GOLDSETUP","Imported_From_KOT4X\GOLDSETUP.ex4","74666","2025-12-14T16:13:52.0921463Z"
"HALO","Imported_From_KOT4X\HALO.ex4","21660","2025-12-07T05:34:07.3077019Z"
"IMB","Imported_From_KOT4X\IMB\IMB.ex4","27398","2025-12-05T23:02:33.6291928Z"
"KINGDOM MANNER - ULTIMATE PACKAGE","Imported_From_KOT4X\KINGDOM MANNER - ULTIMATE PACKAGE.ex4","344820","2025-11-04T01:11:23.9943884Z"
"KINGDOM MANNER - VERSION 3","Imported_From_KOT4X\KINGDOM MANNER - VERSION 3.ex4","266228","2025-10-23T15:52:57.1850638Z"
"KINGDOM MANNER - VERSION 4","Imported_From_KOT4X\KINGDOM MANNER - VERSION 4.ex4","270372","2025-10-23T14:30:53.5414906Z"
"Kingdom Manner + Scale","Imported_From_KOT4X\Kingdom Manner + Scale.ex4","255680","2025-10-23T16:22:06.8567585Z"
"Kingdom Manner","Imported_From_KOT4X\Kingdom Manner.ex4","219968","2023-08-19T13:57:31.7433478Z"
"MACD Sample","Imported_From_KOT4X\MACD Sample.ex4","10232","2026-03-21T21:20:02.3565492Z"
"Manner","Imported_From_KOT4X\Manner.ex4","265942","2024-02-01T05:09:37.5462428Z"
"Moving Average","Imported_From_KOT4X\Moving Average.ex4","14490","2026-03-21T21:20:02.5029486Z"
"SORO + IMB SCALER","Imported_From_KOT4X\SORO + IMB SCALER.ex4","65956","2025-12-10T23:31:50.8975371Z"
"SORO","Imported_From_KOT4X\SORO.ex4","26654","2025-12-09T08:25:46.0924387Z"
"MACD Sample","MACD Sample.ex4","10686","2026-03-19T12:42:10.6923426Z"
"Moving Average","Moving Average.ex4","15460","2026-03-19T12:42:10.8173382Z"
