"EAName","RecommendationType","PresetFile","StartBalance","Lots","StopLoss","TakeProfit"
"DF HIGHTOWER V3","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","50","","",""
"DF KNOT","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","50","","",""
"DF KNOT +AUTOFLIP","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","50","","",""
"DF LADDER","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","50","","",""
"DF LADDER - MOTION","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","50","","",""
"DF LADDER - MOTION V3","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","50","","",""
"DF LADDER- MOTION V2","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER- MOTION V2.ini","50","","",""
"DF LADDER RV","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER RV.ini","50","","",""
"DF ORIGINAL","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF ORIGINAL.ini","50","","",""
"DF SAUCE","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","50","","",""
"DF SAUCE 2.0","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE.ini","50","","",""
"DF SAUCE FINAL","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","50","","",""
"DF TREND GHOST","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF TREND GHOST.ini","50","","",""
"DF_HIGHTOWER_ADAPTIVE_V7","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_ADAPTIVE_V7.ini","50","","",""
"DF_HIGHTOWER_V10_FULL","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_V10_FULL.ini","50","","",""
"DF_QUANTUM","Template","","50","0.01","200","300"
"DF_SAUCE","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","50","","",""
"DF_Sauce_EA","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","50","","",""
"DF_Sauce_EA_FIXED","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","50","","",""
"DFHIGHTOWERV6","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DFHIGHTOWERV6.ini","50","","",""
"DJ VERSION - ULTIMATE PACKAGE (1) (1)","Template","","50","0.01","200","300"
"fxDreema","Template","","50","0.01","200","300"
"GOLDSETUP","Template","","50","0.01","200","300"
"HALO","Template","","50","0.01","200","300"
"Heiken Ashi","Template","","50","0.01","200","300"
"Ichimoku","Template","","50","0.01","200","300"
"iExposure","Template","","50","0.01","200","300"
"IMB","Template","","50","0.01","200","300"
"Kingdom Manner","Template","","50","0.01","200","300"
"KINGDOM MANNER - ULTIMATE PACKAGE","Template","","50","0.01","200","300"
"KINGDOM MANNER - VERSION 3","Template","","50","0.01","200","300"
"KINGDOM MANNER - VERSION 4","Template","","50","0.01","200","300"
"Kingdom Manner + Scale","Template","","50","0.01","200","300"
"Kingdom Manner + Scale + Margin Close","Template","","50","0.01","200","300"
"MACD","Template","","50","0.01","200","300"
"MACD Sample","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\MACD Sample.ini","50","","",""
"Manner","Template","","50","0.01","200","300"
"Momentum","Template","","50","0.01","200","300"
"Moving Average","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\Moving Average.ini","50","","",""
"OsMA","Template","","50","0.01","200","300"
"Parabolic","Template","","50","0.01","200","300"
"pipsometer_decimal","Template","","50","0.01","200","300"
"PT Color Alert MACD","Template","","50","0.01","200","300"
"RSI","Template","","50","0.01","200","300"
"SAUCE","Template","","50","0.01","200","300"
"SimplePanel","Template","","50","0.01","200","300"
"SORO","Template","","50","0.01","200","300"
"SORO + IMB SCALER","Template","","50","0.01","200","300"
"Stochastic","Template","","50","0.01","200","300"
"Trade Panel Pro by RunwiseFX","Template","","50","0.01","200","300"
"Volume Profile FR","Template","","50","0.01","200","300"
"volume-profile-indicator (1)","Template","","50","0.01","200","300"
"x2014-pipsv2","Template","","50","0.01","200","300"
"ZigZag","Template","","50","0.01","200","300"
