"EAName","Mode","StartBalance","PresetFile","Lots","RiskPercent","StopLoss","TakeProfit"
"fxDreema","Template","50","","0.01","1.0","200","300"
"GOLDSETUP","Template","50","","0.01","1.0","200","300"
"HALO","Template","50","","0.01","1.0","200","300"
"IMB","Template","50","","0.01","1.0","200","300"
"Kingdom Manner","Template","50","","0.01","1.0","200","300"
"KINGDOM MANNER - ULTIMATE PACKAGE","Template","50","","0.01","1.0","200","300"
"KINGDOM MANNER - VERSION 3","Template","50","","0.01","1.0","200","300"
"KINGDOM MANNER - VERSION 4","Template","50","","0.01","1.0","200","300"
"Kingdom Manner + Scale","Template","50","","0.01","1.0","200","300"
"Kingdom Manner + Scale + Margin Close","Template","50","","0.01","1.0","200","300"
"MACD Sample","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\MACD Sample.ini","","","",""
"Manner","Template","50","","0.01","1.0","200","300"
"Moving Average","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\Moving Average.ini","","","",""
"SORO","Template","50","","0.01","1.0","200","300"
"SORO + IMB SCALER","Template","50","","0.01","1.0","200","300"
"Trade Panel Pro by RunwiseFX","Template","50","","0.01","1.0","200","300"
